agiasn,1.0
cherrytree,1.0
chronicled,1.0
envisage,1.0
febuary,1.0
greeat,1.0
heteosexual,1.0
judeochristian,1.0
kiev,1.0
nationalman,1.0
nb,1.0
nighters,1.0
obstructs,1.0
peroxide,1.0
poetry,1.0
polohowever,1.0
precicely,1.0
ready,1.0
santorini,1.0
sleepless,1.0
tail,1.0
teachertenure,1.0
tensile,1.0
transracial,1.0
unanswerable,1.0
yahwe,1.0
bromberg,0.9719040997847307
instrumentally,0.9487995902940344
darthkirones,0.9278393525661723
blackberrys,0.915386672589759
notes1,0.9143425557613803
für,0.8969042362648397
papartnerships,0.8875917118411057
fooli,0.8843286165463455
festus2,0.8616026853113196
legitament,0.8610478804070072
procurators,0.8596842426270471
23http,0.858794649181794
logia,0.848766599453481
defenceless,0.8425185343592669
transregional,0.8385289106786018
jjay,0.8298589822529964
2van,0.8267081324704809
breifly,0.8151192393602159
cont1,0.8099733851070859
maitaining,0.8083009552946595
jaguarï,0.8016619402479275
logicinlife,0.8012760644254859
amen,0.7999531710784206
finitistically,0.7999531710784206
poetical,0.7999531710784206
2x4,0.7986657174949799
arra,0.7956976807358018
maintian,0.7909498364477024
miserablyand,0.7865811511691384
pushas,0.7849736988017919
wakens,0.7846744148176272
incandescence,0.7823353045120227
brontebaxter,0.7807417266559843
iterates,0.7807417266559843
spheres,0.7807417266559843
wiper,0.7756594372039317
spews,0.7751215350966495
adolescents,0.767643396648217
jaguars,0.7662701472810122
effectivecontention,0.7581239765632112
duesthe,0.7572431124617678
qushtin,0.7556957130650814
ridley,0.752189655778949
interfiles,0.7509547865187791
aswan,0.7507542297394784
estes,0.7489374880508455
situtations,0.7477631624899881
gallicisms,0.7471794360700621
birkeland,0.7434274023145849
situations,0.7428085527131157
mannarisms,0.7423782131263572
marriage,0.7417160551470355
liveability,0.7399095501515582
devoting,0.7349911972158509
greco,0.7334543631732879
semper,0.7284632496335713
snowden,0.7249446736700168
broker,0.7208793026676187
ndsu,0.7196183785605542
creation23,0.7162839685999559
brynmawr,0.7154254441416955
definitionc,0.7116987676322243
miletus,0.7116340923529015
poppy,0.7100336487112602
nonoppressive,0.7088814292558603
moviesmy,0.7082508978698395
behavioral,0.7080096413193926
articulates,0.7020900632528573
seasprites,0.7015749113471823
moneycorporations,0.7002643040972137
relgion,0.6987899735120303
s_paradox_of_the_grand_hotelanother,0.6958587231432882
marriagedebate,0.6957946928033523
vern,0.6945628081923703
