kfc kfc kfc kfc kfc,1981
ham ham ham ham ham,1674
wonyou wonyou wonyou wonyou wonyou,738
i thank my opponent for,682
i would like to thank,665
thinking bee thinking bee thinking,641
bee thinking bee thinking bee,641
to thank my opponent for,503
like to thank my opponent,500
has nothing to do with,494
http www merriam webster com,398
like to point out that,384
would like to thank my,370
dan has a small penis,360
has a small penis dan,359
a small penis dan has,359
small penis dan has a,359
penis dan has a small,359
i would like to point,322
would like to point out,318
due to the fact that,289
1 http en wikipedia org,275
there is no reason to,266
i would also like to,250
my opponent has failed to,233
at the end of the,233
2 http en wikipedia org,230
thank my opponent for his,218
http en wikipedia org http,211
the burden of proof is,209
the united states of america,208
nothing to do with the,207
http en wikipedia org 2,205
i will be arguing that,205
first round is for acceptance,202
en wikipedia org 2 http,191
i d like to thank,182
http en wikipedia org 3,178
would not be able to,173
this is not the case,172
www ncbi nlm nih gov,166
thank my opponent for accepting,166
there is no such thing,164
but that doesn t mean,163
en wikipedia org 3 http,161
there is no way to,160
thank my opponent for this,158
burden of proof is on,157
3 http en wikipedia org,156
is not the same as,151
is no such thing as,151
http www ncbi nlm nih,150
i don t see how,148
the rest of the world,145
and i look forward to,143
i don t want to,142
i don t know what,141
com http www youtube com,137
my opponent for accepting this,135
i m not going to,134
is one of the most,133
org http en wikipedia org,130
www youtube com http www,129
my opponent for this debate,129
i look forward to my,129
thanks to my opponent for,129
http www youtube com http,128
i look forward to your,128
fact of the matter is,127
will not be able to,127
you don t have to,126
the fact of the matter,125
i don t have to,125
a man and a woman,123
i don t think that,119
has the burden of proof,119
http en wikipedia org 4,118
youtube com http www youtube,117
in this debate i will,117
i would like to say,117
opponent for accepting this debate,116
not have the right to,116
first i would like to,114
org 2 http en wikipedia,114
the end of the day,114
4 http en wikipedia org,113
separation of church and state,113
en wikipedia org 4 http,113
i look forward to a,111
i don t think it,110
i d like to point,108
liberty and the pursuit of,108
and the pursuit of happiness,108
good luck to my opponent,108
en wikipedia org http en,108
wikipedia org http en wikipedia,108
have nothing to do with,107
thank my opponent for the,107
d like to point out,106
d like to thank my,106
