i would like to,2895
http en wikipedia org,2191
kfc kfc kfc kfc,1982
ham ham ham ham,1675
thank my opponent for,1251
in the united states,977
i look forward to,909
the burden of proof,901
in the first place,877
i don t think,832
http www youtube com,814
wonyou wonyou wonyou wonyou,796
nothing to do with,781
i d like to,774
i thank my opponent,746
that there is no,717
i don t know,700
of the united states,698
have the right to,695
would like to thank,695
on the other hand,659
when it comes to,654
thinking bee thinking bee,642
bee thinking bee thinking,641
http www debate org,629
at the same time,601
if you don t,591
for the sake of,564
to thank my opponent,562
the fact that the,559
like to point out,557
that there is a,553
the rest of the,531
like to thank my,531
does not mean that,510
my opponent has not,508
to the fact that,504
has nothing to do,501
to point out that,500
is one of the,483
there is no reason,477
as a result of,474
not be able to,470
the end of the,467
in the u s,465
the existence of god,460
don t want to,455
to be able to,453
in the case of,452
com 2 http www,452
at the end of,444
one of the most,442
i m going to,438
don t have to,437
www merriam webster com,433
to do with the,423
my opponent s argument,409
i don t see,408
should be able to,405
https en wikipedia org,401
http www merriam webster,398
http dictionary reference com,392
if you want to,388
to my opponent s,383
as well as the,382
it is not a,382
sources 1 http www,371
it doesn t matter,367
in the next round,366
it is true that,364
this is not a,363
dan has a small,360
has a small penis,360
as you can see,359
a small penis dan,359
small penis dan has,359
penis dan has a,359
i will be arguing,356
i am going to,352
of my opponent s,347
the death penalty is,343
for accepting this debate,343
my opponent claims that,338
the only way to,338
due to the fact,335
would like to point,335
my opponent s arguments,334
doesn t mean that,333
there would be no,333
that my opponent has,332
we can see that,330
com 3 http www,330
i don t have,330
there is no evidence,329
in the last round,329
would be able to,326
in the form of,324
there is no way,324
that it is not,322
that doesn t mean,314
